Year,Min price,Max price
2024,13.60,15.30
2023,12.60,14.90
2022,12.60,13.80
2019,10.80,11.80
2018,10.70,11.50
2017,10.60,10.95
2016,10.40,10.70
2015,10.10,10.35
2014,9.70,10.10
2013,9.40,9.85
2012,9.10,9.50
2011,8.70,9.20
2010,8.30,8.90
2009,8.10,8.60
2008,7.80,8.30
2007,7.30,7.90
2006,6.95,7.50
2005,6.80,7.25
2004,6.70,7.10
2003,6.30,6.80
2002,6.30,6.80
2001,11.70,12.80
2000,11.20,12.60
1999,10.70,11.80
1998,10.40,11.30
1997,10.20,10.90
1996,9.80,10.50
1995,9.50,10.40
1994,9,9.80
1993,8.80,9.45
1992,8.10,8.85
1991,7.40,8.50
1990,6.95,7.55
1989,6.70,7.20
1988,6.60,6.85
1987,6.35,6.65
1986,6.10,6.50
1985,5.90,6.30
1984,5.75,6
1983,5.60,5.90
1982,5.25,5.60
1981,4.80,5.25
1980,4.80,4.90
1979,4.55,4.65
1978,4.10,4.35
1977,4.10,4.25
1976,3.70,3.95
1975,3.50,3.75
1974,3.20,3.50
1973,2.90,3.25
1972,2.60,3.05
1971,2.50,2.95
